logID,layerID,layerType,neuronID,activationFunction,lastValue,weights,bias
1,2,FCL,0,ReLu,0.666635,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
1,2,FCL,1,ReLu,0.900284,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
1,2,FCL,2,ReLu,1.76469,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
2,0,CONV,0,tanh,0.997236,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
2,0,CONV,1,tanh,0.999393,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
2,0,CONV,2,tanh,0.995617,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
2,0,CONV,3,tanh,0.981647,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
2,0,CONV,4,tanh,0.998338,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
2,1,FCL,0,SoftStep,0.00555438,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
2,1,FCL,1,SoftStep,0.0043832,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
2,1,FCL,2,SoftStep,0.0116252,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
2,1,FCL,3,SoftStep,0.00254362,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
2,1,FCL,4,SoftStep,0.0176412,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
2,1,FCL,5,SoftStep,0.00298904,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
2,1,FCL,6,SoftStep,0.0043848,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
2,2,FCL,0,ReLu,0,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
2,2,FCL,1,ReLu,0,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
2,2,FCL,2,ReLu,0.363737,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
3,0,CONV,0,tanh,0.312653,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
3,0,CONV,1,tanh,0.7938,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
3,0,CONV,2,tanh,0.0923768,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
3,0,CONV,3,tanh,-0.555931,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
3,0,CONV,4,tanh,0.52126,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
3,1,FCL,0,SoftStep,0.201085,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
3,1,FCL,1,SoftStep,0.165548,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
3,1,FCL,2,SoftStep,0.346419,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
3,1,FCL,3,SoftStep,0.103072,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
3,1,FCL,4,SoftStep,0.447285,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
3,1,FCL,5,SoftStep,0.11902,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
3,1,FCL,6,SoftStep,0.165599,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
3,2,FCL,0,ReLu,0.764588,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
3,2,FCL,1,ReLu,0.998238,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
3,2,FCL,2,ReLu,1.86264,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
4,0,CONV,0,tanh,0.998463,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
4,0,CONV,1,tanh,0.999662,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
4,0,CONV,2,tanh,0.997563,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
4,0,CONV,3,tanh,0.989762,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
4,0,CONV,4,tanh,0.999076,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
4,1,FCL,0,SoftStep,0.00548687,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
4,1,FCL,1,SoftStep,0.00432987,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
4,1,FCL,2,SoftStep,0.0114848,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
4,1,FCL,3,SoftStep,0.00251262,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
4,1,FCL,4,SoftStep,0.0174294,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
4,1,FCL,5,SoftStep,0.00295262,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
4,1,FCL,6,SoftStep,0.00433145,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
4,2,FCL,0,ReLu,0,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
4,2,FCL,1,ReLu,0,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
4,2,FCL,2,ReLu,0.363143,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
5,0,CONV,0,tanh,0.312117,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
5,0,CONV,1,tanh,0.793581,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
5,0,CONV,2,tanh,0.091788,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
5,0,CONV,3,tanh,-0.556341,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
5,0,CONV,4,tanh,0.520827,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
5,1,FCL,0,SoftStep,0.201436,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
5,1,FCL,1,SoftStep,0.165851,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
5,1,FCL,2,SoftStep,0.346915,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
5,1,FCL,3,SoftStep,0.103274,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
5,1,FCL,4,SoftStep,0.447826,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
5,1,FCL,5,SoftStep,0.11925,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
5,1,FCL,6,SoftStep,0.165901,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
5,2,FCL,0,ReLu,0.767013,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
5,2,FCL,1,ReLu,1.00066,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
5,2,FCL,2,ReLu,1.86507,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
6,0,CONV,0,tanh,0.998485,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
6,0,CONV,1,tanh,0.999667,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
6,0,CONV,2,tanh,0.997598,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
6,0,CONV,3,tanh,0.989909,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
6,0,CONV,4,tanh,0.999089,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
6,1,FCL,0,SoftStep,0.00548566,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
6,1,FCL,1,SoftStep,0.00432891,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
6,1,FCL,2,SoftStep,0.0114822,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
6,1,FCL,3,SoftStep,0.00251206,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
6,1,FCL,4,SoftStep,0.0174256,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
6,1,FCL,5,SoftStep,0.00295196,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
6,1,FCL,6,SoftStep,0.00433049,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
6,2,FCL,0,ReLu,0,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
6,2,FCL,1,ReLu,0,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
6,2,FCL,2,ReLu,0.363132,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
7,0,CONV,0,tanh,0.312107,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
7,0,CONV,1,tanh,0.793577,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
7,0,CONV,2,tanh,0.0917774,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
7,0,CONV,3,tanh,-0.556348,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
7,0,CONV,4,tanh,0.52082,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
7,1,FCL,0,SoftStep,0.201443,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
7,1,FCL,1,SoftStep,0.165856,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
7,1,FCL,2,SoftStep,0.346924,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
7,1,FCL,3,SoftStep,0.103278,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
7,1,FCL,4,SoftStep,0.447836,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
7,1,FCL,5,SoftStep,0.119254,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
7,1,FCL,6,SoftStep,0.165907,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
7,2,FCL,0,ReLu,0.767057,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
7,2,FCL,1,ReLu,1.00071,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
7,2,FCL,2,ReLu,1.86511,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
8,0,CONV,0,tanh,0.998486,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
8,0,CONV,1,tanh,0.999667,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
8,0,CONV,2,tanh,0.997598,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
8,0,CONV,3,tanh,0.989911,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
8,0,CONV,4,tanh,0.99909,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
8,1,FCL,0,SoftStep,0.00548563,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
8,1,FCL,1,SoftStep,0.00432889,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
8,1,FCL,2,SoftStep,0.0114822,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
8,1,FCL,3,SoftStep,0.00251205,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
8,1,FCL,4,SoftStep,0.0174255,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
8,1,FCL,5,SoftStep,0.00295195,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
8,1,FCL,6,SoftStep,0.00433047,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
8,2,FCL,0,ReLu,0,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
8,2,FCL,1,ReLu,0,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
8,2,FCL,2,ReLu,0.363132,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
9,0,CONV,0,tanh,0.312107,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
9,0,CONV,1,tanh,0.793577,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
9,0,CONV,2,tanh,0.0917772,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
9,0,CONV,3,tanh,-0.556349,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
9,0,CONV,4,tanh,0.520819,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
9,1,FCL,0,SoftStep,0.201443,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
9,1,FCL,1,SoftStep,0.165856,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
9,1,FCL,2,SoftStep,0.346924,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
9,1,FCL,3,SoftStep,0.103278,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
9,1,FCL,4,SoftStep,0.447836,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
9,1,FCL,5,SoftStep,0.119254,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
9,1,FCL,6,SoftStep,0.165907,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
9,2,FCL,0,ReLu,0.767057,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
9,2,FCL,1,ReLu,1.00071,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
9,2,FCL,2,ReLu,1.86511,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
10,0,CONV,0,tanh,0.998486,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
10,0,CONV,1,tanh,0.999667,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
10,0,CONV,2,tanh,0.997598,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
10,0,CONV,3,tanh,0.989911,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
10,0,CONV,4,tanh,0.99909,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
10,1,FCL,0,SoftStep,0.00548563,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
10,1,FCL,1,SoftStep,0.00432889,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
10,1,FCL,2,SoftStep,0.0114822,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
10,1,FCL,3,SoftStep,0.00251205,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
10,1,FCL,4,SoftStep,0.0174255,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
10,1,FCL,5,SoftStep,0.00295195,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
10,1,FCL,6,SoftStep,0.00433047,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
10,2,FCL,0,ReLu,0,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
10,2,FCL,1,ReLu,0,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
10,2,FCL,2,ReLu,0.363132,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
11,0,CONV,0,tanh,0.312107,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
11,0,CONV,1,tanh,0.793577,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
11,0,CONV,2,tanh,0.0917772,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
11,0,CONV,3,tanh,-0.556349,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
11,0,CONV,4,tanh,0.520819,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
11,1,FCL,0,SoftStep,0.201443,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
11,1,FCL,1,SoftStep,0.165856,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
11,1,FCL,2,SoftStep,0.346924,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
11,1,FCL,3,SoftStep,0.103278,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
11,1,FCL,4,SoftStep,0.447836,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
11,1,FCL,5,SoftStep,0.119254,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
11,1,FCL,6,SoftStep,0.165907,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
11,2,FCL,0,ReLu,0.767057,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
11,2,FCL,1,ReLu,1.00071,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
11,2,FCL,2,ReLu,1.86511,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
12,0,CONV,0,tanh,0.998486,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
12,0,CONV,1,tanh,0.999667,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
12,0,CONV,2,tanh,0.997598,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
12,0,CONV,3,tanh,0.989911,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
12,0,CONV,4,tanh,0.99909,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
12,1,FCL,0,SoftStep,0.00548563,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
12,1,FCL,1,SoftStep,0.00432889,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
12,1,FCL,2,SoftStep,0.0114822,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
12,1,FCL,3,SoftStep,0.00251205,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
12,1,FCL,4,SoftStep,0.0174255,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
12,1,FCL,5,SoftStep,0.00295195,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
12,1,FCL,6,SoftStep,0.00433047,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
12,2,FCL,0,ReLu,0,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
12,2,FCL,1,ReLu,0,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
12,2,FCL,2,ReLu,0.363132,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
13,0,CONV,0,tanh,0.312107,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
13,0,CONV,1,tanh,0.793577,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
13,0,CONV,2,tanh,0.0917772,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
13,0,CONV,3,tanh,-0.556349,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
13,0,CONV,4,tanh,0.520819,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
13,1,FCL,0,SoftStep,0.201443,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
13,1,FCL,1,SoftStep,0.165856,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
13,1,FCL,2,SoftStep,0.346924,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
13,1,FCL,3,SoftStep,0.103278,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
13,1,FCL,4,SoftStep,0.447836,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
13,1,FCL,5,SoftStep,0.119254,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
13,1,FCL,6,SoftStep,0.165907,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
13,2,FCL,0,ReLu,0.767057,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
13,2,FCL,1,ReLu,1.00071,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
13,2,FCL,2,ReLu,1.86511,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
14,0,CONV,0,tanh,0.998486,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
14,0,CONV,1,tanh,0.999667,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
14,0,CONV,2,tanh,0.997598,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
14,0,CONV,3,tanh,0.989911,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
14,0,CONV,4,tanh,0.99909,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
14,1,FCL,0,SoftStep,0.00548563,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
14,1,FCL,1,SoftStep,0.00432889,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
14,1,FCL,2,SoftStep,0.0114822,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
14,1,FCL,3,SoftStep,0.00251205,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
14,1,FCL,4,SoftStep,0.0174255,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
14,1,FCL,5,SoftStep,0.00295195,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
14,1,FCL,6,SoftStep,0.00433047,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
14,2,FCL,0,ReLu,0,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
14,2,FCL,1,ReLu,0,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
14,2,FCL,2,ReLu,0.363132,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
15,0,CONV,0,tanh,0.312107,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
15,0,CONV,1,tanh,0.793577,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
15,0,CONV,2,tanh,0.0917772,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
15,0,CONV,3,tanh,-0.556349,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
15,0,CONV,4,tanh,0.520819,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
15,1,FCL,0,SoftStep,0.201443,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
15,1,FCL,1,SoftStep,0.165856,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
15,1,FCL,2,SoftStep,0.346924,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
15,1,FCL,3,SoftStep,0.103278,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
15,1,FCL,4,SoftStep,0.447836,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
15,1,FCL,5,SoftStep,0.119254,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
